127.0.0.1, 2018-10-22 16:33:56, GET, /, HTTP/1.1, 303, 0.000408
127.0.0.1, 2018-10-22 16:33:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.019093
127.0.0.1, 2018-10-22 16:33:59, GET, /admin/default/site, HTTP/1.1, 303, 0.129494
127.0.0.1, 2018-10-22 16:33:59, GET, /admin/default/index, HTTP/1.1, 200, 0.029793
127.0.0.1, 2018-10-22 16:33:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000563
127.0.0.1, 2018-10-22 16:34:01, POST, /admin/default/index, HTTP/1.1, 303, 0.011644
127.0.0.1, 2018-10-22 16:34:01, GET, /admin/default/site, HTTP/1.1, 200, 0.038565
127.0.0.1, 2018-10-22 16:34:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.259813
127.0.0.1, 2018-10-22 16:34:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000201
127.0.0.1, 2018-10-22 16:34:03, GET, /CMPS183_HW2/default/index, HTTP/1.1, 500, 0.024398
127.0.0.1, 2018-10-22 16:34:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2018-10-22 16:34:06, GET, /admin/default/site, HTTP/1.1, 200, 0.020381
127.0.0.1, 2018-10-22 16:34:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
127.0.0.1, 2018-10-22 16:34:08, GET, /CMPS183_HW2/default/index, HTTP/1.1, 500, 0.022325
127.0.0.1, 2018-10-22 16:34:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2018-10-22 16:34:10, GET, /admin/default/ticket/CMPS183_HW2/127.0.0.1.2018-10-22.16-34-08.5cdf1373-faee-4b2d-8dae-572c02f5f764, HTTP/1.1, 200, 0.054599
127.0.0.1, 2018-10-22 16:34:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
127.0.0.1, 2018-10-22 16:36:17, GET, /, HTTP/1.1, 303, 0.004091
127.0.0.1, 2018-10-22 16:36:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.142138
127.0.0.1, 2018-10-22 16:36:22, GET, /admin/default/site, HTTP/1.1, 200, 0.131917
127.0.0.1, 2018-10-22 16:36:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2018-10-22 16:36:24, GET, /CMPS183_HW2/default/index, HTTP/1.1, 500, 0.105664
127.0.0.1, 2018-10-22 16:36:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
127.0.0.1, 2018-10-22 16:36:27, GET, /admin/default/ticket/CMPS183_HW2/127.0.0.1.2018-10-22.16-36-24.2adde9d9-e75b-4031-905e-541bf0902d91, HTTP/1.1, 200, 0.052576
127.0.0.1, 2018-10-22 16:36:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2018-10-22 16:41:50, GET, /, HTTP/1.1, 303, 0.006731
127.0.0.1, 2018-10-22 16:41:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.147986
127.0.0.1, 2018-10-22 16:41:54, GET, /admin/default/site, HTTP/1.1, 200, 0.154423
127.0.0.1, 2018-10-22 16:41:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2018-10-22 16:41:56, GET, /CMPS183_HW2/default/index, HTTP/1.1, 200, 0.394390
127.0.0.1, 2018-10-22 16:41:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2018-10-22 16:41:59, GET, /CMPS183_HW2/default/add, HTTP/1.1, 303, 0.012730
127.0.0.1, 2018-10-22 16:41:59, GET, /CMPS183_HW2/default/user/login, HTTP/1.1, 200, 0.019522
127.0.0.1, 2018-10-22 16:41:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2018-10-22 16:42:03, GET, /CMPS183_HW2/default/user/register, HTTP/1.1, 200, 0.019478
127.0.0.1, 2018-10-22 16:42:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2018-10-22 16:42:05, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 200, 0.022886
127.0.0.1, 2018-10-22 16:42:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000543
127.0.0.1, 2018-10-22 16:42:22, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 500, 0.099328
127.0.0.1, 2018-10-22 16:42:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
127.0.0.1, 2018-10-22 16:42:26, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 200, 0.020812
127.0.0.1, 2018-10-22 16:42:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000346
127.0.0.1, 2018-10-22 16:42:42, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 500, 0.063948
127.0.0.1, 2018-10-22 16:42:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2018-10-22 16:42:43, GET, /admin/default/ticket/CMPS183_HW2/127.0.0.1.2018-10-22.16-42-42.43ef0e8e-a839-4c19-aefe-a8d35e9f7c01, HTTP/1.1, 200, 0.049270
127.0.0.1, 2018-10-22 16:42:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
127.0.0.1, 2018-10-23 11:55:48, GET, /, HTTP/1.1, 303, 0.004533
127.0.0.1, 2018-10-23 11:55:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.354062
127.0.0.1, 2018-10-23 11:55:48, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007842
127.0.0.1, 2018-10-23 11:55:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.037554
127.0.0.1, 2018-10-23 11:55:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.009601
127.0.0.1, 2018-10-23 11:55:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000315
127.0.0.1, 2018-10-23 11:56:00, GET, /admin/default/site, HTTP/1.1, 303, 0.267056
127.0.0.1, 2018-10-23 11:56:00, GET, /admin/default/index, HTTP/1.1, 200, 0.080020
127.0.0.1, 2018-10-23 11:56:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2018-10-23 11:56:03, POST, /admin/default/index, HTTP/1.1, 303, 0.008563
127.0.0.1, 2018-10-23 11:56:03, GET, /admin/default/site, HTTP/1.1, 200, 0.049484
127.0.0.1, 2018-10-23 11:56:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2018-10-23 11:56:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.767980
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/default/index, HTTP/1.1, 200, 0.142519
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/css/custom.css, HTTP/1.1, 200, 0.003650
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/css/calendar.css, HTTP/1.1, 200, 0.010624
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/css/web2py.css, HTTP/1.1, 200, 0.040957
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/css/stupid.css, HTTP/1.1, 200, 0.041751
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.042525
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/js/calendar.js, HTTP/1.1, 200, 0.034440
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/js/jquery.js, HTTP/1.1, 200, 0.040757
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/js/marked.min.js, HTTP/1.1, 200, 0.030458
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/js/web2py.js, HTTP/1.1, 200, 0.063032
127.0.0.1, 2018-10-23 11:56:05, GET, /CMPS183_HW2/static/js/vue.min.js, HTTP/1.1, 200, 0.059844
127.0.0.1, 2018-10-23 11:56:06, GET, /CMPS183_HW2/static/css/myapp.css, HTTP/1.1, 200, 0.003530
127.0.0.1, 2018-10-23 11:56:06, GET, /CMPS183_HW2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.009538
127.0.0.1, 2018-10-23 11:56:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2018-10-23 11:56:10, GET, /CMPS183_HW2/default/add, HTTP/1.1, 303, 0.014625
127.0.0.1, 2018-10-23 11:56:10, GET, /CMPS183_HW2/default/user/login, HTTP/1.1, 200, 0.028363
127.0.0.1, 2018-10-23 11:56:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2018-10-23 11:56:26, POST, /CMPS183_HW2/default/user/login, HTTP/1.1, 303, 0.016900
127.0.0.1, 2018-10-23 11:56:26, GET, /CMPS183_HW2/default/user/login, HTTP/1.1, 200, 0.019815
127.0.0.1, 2018-10-23 11:56:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2018-10-23 11:56:28, GET, /CMPS183_HW2/default/user/register, HTTP/1.1, 200, 0.022248
127.0.0.1, 2018-10-23 11:56:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2018-10-23 11:56:39, POST, /CMPS183_HW2/default/user/register, HTTP/1.1, 500, 0.224247
127.0.0.1, 2018-10-23 11:56:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
